;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
81;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304;9131.520995399304
82;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472;9909.979441753472
83;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804;10666.428415711804
84;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235;10252.303413064235
85;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708;9537.947642317708
86;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596;10136.078828081596
87;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349;10811.637027300349
88;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686;10053.520402430686
89;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935;9806.60629579935
90;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695;10523.591379600695
91;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612;10139.251012673612
92;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584;8882.059574739584
93;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826;7274.927136349826
