;Load_0;Load_1;Load_2;Load_3;Load_4;Load_5;Load_6;Load_7;Load_8;Load_9;Load_10;Load_11;Load_12
33;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912;-448.5635603397912
34;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211;-601.6939988201211
35;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128;-610.794675145128
36;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914;-440.06213432718914
37;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948;-473.4824257720948
38;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977;-521.3216143669977
39;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824;-444.7869343444824
40;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604;-2238.777440149604
41;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695;-10335.613300748695
42;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612;-11710.004790798612
43;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888;-11526.595985763888
44;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836;-12929.344580218836
45;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205;-14891.087411693205
46;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486;-13826.84058220486
47;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486;-14078.171410720486
48;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209;-16130.296222005209
49;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083;-16683.32030677083
50;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303;-16123.020267274303
51;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584;-16639.898815364584
52;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477;-18175.274388628477
53;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611;-18546.02898298611
54;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833;-17239.851953645833
55;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688;-16442.30390388688
56;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317;-17666.96389925317
57;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125;-18614.5655453125
58;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596;-16700.174921831596
59;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472;-15555.461966753472
