;Tariff_mean;Tariff_max_1;Tariff_min_1;Tariff_max_2;Tariff_min_2;Tariff_max_3;Tariff_min_3
277;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
278;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
279;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
280;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
281;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
282;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
283;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
284;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
285;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
286;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
287;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
288;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
289;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
290;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
291;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
292;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
293;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
294;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
295;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
296;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
297;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
298;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
299;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
300;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
301;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
302;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
303;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
304;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
305;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
306;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
307;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
308;0.075287397;0.079148176;0.071426619;0.083008954;0.06756584;0.086869733;0.063705062
